,submission_id,submission_state,education,employment_status,financial_situation,percentage,does_home_shows_severe_deficit_of_electricity,age,geography,do_children_3_and_17_yrs_receive_regular_school_meals,are_there_children_who_stopped_enrolling_in_primary_education,are_there_children_who_stopped_enrolling_in_secondary_education,are_there_teachers_at_scheduled_class_hours,are_children_attending_face_to_face_classes,are_children_being_teached_by_unqualified_people,gender,does_home_shows_severe_deficit_of_internet,do_school_and_the_teachers_have_internet_connection,do_children_have_internet_connection,were_children_3_to_17_yrs_enrolled_and_did_not_return_to_school,do_children_3_to_17_yrs_miss_class_or_in_lower_grade
18,6728207176040448,Mérida,5,I am a student and I work part-time,Midium_situation,0.93,0,26 to 35 years old,Suburban/Peri-urban,No,0,0,Irregularly,0,0,Female,0,0,1,1,0
19,5747543400251392,Mérida,3,I am a student,Good_situation,0.93,0,16 to 25 years old,Rural,No,0,0,There are not enough,0,0,Female,0,1,0,0,0
20,5306240006881280,Mérida,9,"I work part-time, either as an employee or self-employed",Better_situation,0.93,0,36 to 45 years old,City center or metropolitan area,No,0,0,There are enough,0,0,Male,0,1,1,0,0
21,5873682026332160,Mérida,7,"I work part-time, either as an employee or self-employed",Better_situation,0.93,0,Over 45 years old,Rural,No,0,0,Irregularly,0,0,Female,0,0,1,1,0
22,4603150085652480,Carabobo,3,I am a student,Bad_situation,0.93,1,16 to 25 years old,Rural,No,0,0,Irregularly,1,0,Male,0,0,1,0,1
23,5609529055379456,Distrito Federal,5,"I work part-time, either as an employee or self-employed",Good_situation,0.9,0,36 to 45 years old,City center or metropolitan area,No,0,0,Irregularly,0,0,Male,0,0,1,1,0
24,5588256686342144,Distrito Federal,5,I am unemployed,Bad_situation,0.9,0,16 to 25 years old,Rural,No,1,0,There are not enough,0,0,Female,0,0,0,1,0
25,5497174669656064,Distrito Federal,9,"I work part-time, either as an employee or self-employed",Bad_situation,0.9,0,26 to 35 years old,City center or metropolitan area,No,0,1,There are not enough,0,0,Female,0,1,0,0,1
26,4708750463336448,Distrito Federal,8,"I work full-time, either as an employee or self-employed",Good_situation,0.9,0,26 to 35 years old,City center or metropolitan area,No,0,0,There are enough,0,0,Male,0,1,1,1,0
27,5160952940199936,Distrito Federal,9,"I work full-time, either as an employee or self-employed",Better_situation,0.9,0,16 to 25 years old,City center or metropolitan area,No,0,0,Irregularly,0,0,Female,0,0,1,0,0
28,4603876622991360,Distrito Federal,7,"I work part-time, either as an employee or self-employed",Better_situation,0.9,0,36 to 45 years old,Rural,No,0,0,There are enough,0,0,Female,0,0,1,1,0
29,4986462159503360,Distrito Federal,7,"I do housework, fulfilling domestic tasks, looking after children",Midium_situation,0.9,0,16 to 25 years old,Suburban/Peri-urban,No,0,0,Irregularly,0,0,Female,0,0,1,0,0
30,4628459472289792,Distrito Federal,9,"I work part-time, either as an employee or self-employed",Midium_situation,0.9,0,36 to 45 years old,City center or metropolitan area,No,0,0,Irregularly,0,0,Female,0,0,0,1,0
31,5856863337054208,Distrito Federal,5,None of the above,Bad_situation,0.9,0,26 to 35 years old,City center or metropolitan area,No,0,0,There are enough,1,0,Female,0,1,1,0,0
32,6328894134419456,Distrito Federal,9,"I work full-time, either as an employee or self-employed",Better_situation,0.9,0,36 to 45 years old,Suburban/Peri-urban,No,0,0,There are enough,1,0,Female,0,1,1,0,0
33,6245696591364096,Distrito Federal,2,"I do housework, fulfilling domestic tasks, looking after children",Midium_situation,0.9,0,Over 45 years old,Rural,No,1,1,There are enough,0,0,Female,0,1,1,1,0
34,5997476137140224,Distrito Federal,7,I am a student and I work part-time,Bad_situation,0.9,0,26 to 35 years old,City center or metropolitan area,No,0,0,Irregularly,0,0,Female,0,0,1,1,1
35,6194310663110656,Distrito Federal,7,"I work full-time, either as an employee or self-employed",Midium_situation,0.9,0,16 to 25 years old,Rural,2 days,0,0,There are enough,1,0,Female,0,1,1,1,0
36,4791643332149248,Distrito Federal,7,"I work full-time, either as an employee or self-employed",Good_situation,0.9,0,16 to 25 years old,Suburban/Peri-urban,No,0,0,Irregularly,0,0,Male,0,1,1,1,0
37,5970206248927232,Distrito Federal,9,"I work part-time, either as an employee or self-employed",Better_situation,0.9,0,36 to 45 years old,City center or metropolitan area,Every day,0,1,There are not enough,0,0,Male,0,0,1,1,0
38,5172583040548864,Distrito Federal,9,I am a student and I work part-time,Bad_situation,0.9,0,26 to 35 years old,Rural,1 day,0,0,Irregularly,1,1,Male,0,1,1,0,0
39,5327166563942400,Distrito Federal,4,"I do housework, fulfilling domestic tasks, looking after children",Midium_situation,0.9,0,26 to 35 years old,Suburban/Peri-urban,No,0,0,There are enough,1,1,Female,0,1,1,1,0
40,5166632766013440,Distrito Federal,5,I am a student,Bad_situation,0.9,0,16 to 25 years old,Suburban/Peri-urban,No,0,1,Irregularly,0,1,Male,0,0,0,1,0
41,5250121561538560,Distrito Federal,5,"I work part-time, either as an employee or self-employed",Midium_situation,0.9,0,Over 45 years old,City center or metropolitan area,No,0,0,Irregularly,0,1,Male,0,1,1,1,0
42,6245335747002368,Distrito Federal,5,I am a student,Bad_situation,0.9,0,26 to 35 years old,Rural,No,1,0,There are not enough,0,0,Female,0,0,0,1,0
43,5175651324919808,Distrito Federal,5,I am a student,Bad_situation,0.9,0,16 to 25 years old,City center or metropolitan area,No,0,0,Irregularly,1,0,Male,0,1,0,1,0
44,5417239141679104,Distrito Federal,6,I am a student,Better_situation,0.9,0,26 to 35 years old,Suburban/Peri-urban,4 days,0,0,Irregularly,0,0,Male,0,0,1,0,1
45,6276976536190976,Distrito Federal,4,I am a student,Good_situation,0.9,0,16 to 25 years old,Suburban/Peri-urban,2 days,0,0,There are not enough,0,1,Male,0,0,0,0,0
46,4690058497228800,Distrito Federal,7,I am unemployed,Midium_situation,0.9,1,26 to 35 years old,Suburban/Peri-urban,2 days,0,1,Irregularly,0,1,Female,0,0,0,1,0
47,5000415770050560,Distrito Federal,5,None of the above,Midium_situation,0.9,0,16 to 25 years old,Suburban/Peri-urban,No,0,0,There are not enough,0,0,Male,0,0,1,0,0
48,4708407201497088,Distrito Federal,7,"I work part-time, either as an employee or self-employed",Good_situation,0.9,0,36 to 45 years old,City center or metropolitan area,No,0,0,There are enough,0,0,Female,0,1,1,0,0
49,5750851716251648,Distrito Federal,9,I am unemployed,Good_situation,0.9,0,16 to 25 years old,Suburban/Peri-urban,No,0,0,Irregularly,0,0,Female,0,1,1,0,0
50,6003573648523264,Distrito Federal,9,"I work part-time, either as an employee or self-employed",Better_situation,0.9,0,Over 45 years old,Suburban/Peri-urban,No,0,1,Irregularly,0,0,Female,0,1,1,1,0
51,4965366169337856,Distrito Federal,3,"I do housework, fulfilling domestic tasks, looking after children",Midium_situation,0.9,1,Over 45 years old,Suburban/Peri-urban,No,0,0,Irregularly,0,0,Female,0,1,1,1,0
52,5515801309478912,Distrito Federal,4,I am retired,Midium_situation,0.9,0,Over 45 years old,City center or metropolitan area,No,0,0,There are not enough,0,1,Female,0,0,1,1,0
53,6587523710320640,Distrito Federal,5,I am a student and I work part-time,Midium_situation,0.9,0,26 to 35 years old,Rural,No,0,0,There are enough,0,0,Male,0,1,1,0,0
54,4836963558621184,Distrito Federal,9,"I work full-time, either as an employee or self-employed",Midium_situation,0.9,0,Over 45 years old,City center or metropolitan area,4 days,0,0,Irregularly,1,0,Female,0,1,1,1,0
55,5309641990078464,Distrito Federal,5,"I do housework, fulfilling domestic tasks, looking after children",Midium_situation,0.9,0,Over 45 years old,City center or metropolitan area,No,1,0,Irregularly,0,0,Female,0,1,1,1,1
56,6154200550735872,Distrito Federal,8,"I work part-time, either as an employee or self-employed",Bad_situation,0.9,0,26 to 35 years old,Rural,No,0,0,There are enough,0,0,Female,0,1,1,1,0
57,4985992816885760,Distrito Federal,4,I am unemployed,Midium_situation,0.9,0,36 to 45 years old,City center or metropolitan area,No,0,0,There are not enough,0,0,Female,0,1,0,0,0
58,5656677713182720,Distrito Federal,9,"I work full-time, either as an employee or self-employed",Good_situation,0.9,0,26 to 35 years old,Suburban/Peri-urban,No,0,0,There are enough,1,0,Female,0,0,1,1,1
59,4907735761289216,Distrito Federal,4,"I work part-time, either as an employee or self-employed",Bad_situation,0.9,1,Over 45 years old,Suburban/Peri-urban,No,1,1,Irregularly,0,0,Male,0,0,0,1,0
60,4666488723341312,Distrito Federal,6,"I do housework, fulfilling domestic tasks, looking after children",Better_situation,0.9,0,16 to 25 years old,City center or metropolitan area,No,0,0,Irregularly,1,0,Female,0,1,1,1,0
61,5453935744909312,Distrito Federal,8,I am a student,Bad_situation,0.9,0,16 to 25 years old,City center or metropolitan area,No,0,0,Irregularly,0,0,Female,0,1,1,1,0
62,6530212404920320,Distrito Federal,7,"I work full-time, either as an employee or self-employed",Good_situation,0.9,0,26 to 35 years old,Suburban/Peri-urban,No,0,0,There are enough,0,0,Female,0,0,0,0,0
63,4900953806602240,Distrito Federal,5,I am unemployed,Midium_situation,0.9,0,36 to 45 years old,City center or metropolitan area,No,0,0,There are enough,0,0,Female,0,1,1,0,0
64,4625432996741120,Distrito Federal,9,I am unemployed,Midium_situation,0.9,0,36 to 45 years old,City center or metropolitan area,No,0,0,Irregularly,0,0,Female,0,1,1,1,0
65,6396024674582528,Distrito Federal,9,"I work part-time, either as an employee or self-employed",Bad_situation,0.9,0,26 to 35 years old,Rural,No,0,0,Irregularly,0,0,Male,0,1,1,0,0
66,5398035856359424,Distrito Federal,9,"I work part-time, either as an employee or self-employed",Better_situation,0.9,0,36 to 45 years old,City center or metropolitan area,No,0,0,Irregularly,1,0,Female,0,1,1,1,1
67,5209121870839808,Distrito Federal,5,I am unemployed,Midium_situation,0.9,0,26 to 35 years old,City center or metropolitan area,No,1,0,There are enough,0,1,Female,0,1,1,0,0
68,6507487514853376,Distrito Federal,9,"I work full-time, either as an employee or self-employed",Midium_situation,0.9,0,26 to 35 years old,City center or metropolitan area,No,0,0,Irregularly,1,0,Female,0,1,0,1,0
69,4660570191298560,Distrito Federal,7,I am unemployed,Midium_situation,0.9,0,36 to 45 years old,City center or metropolitan area,No,0,0,There are enough,0,0,Female,0,1,1,0,0
70,6312416962150400,Distrito Federal,9,"I work full-time, either as an employee or self-employed",Better_situation,0.9,0,Over 45 years old,Suburban/Peri-urban,No,1,0,There are not enough,1,0,Female,0,1,1,1,1
71,6242814601199616,Distrito Federal,7,"I work full-time, either as an employee or self-employed",Good_situation,0.9,0,26 to 35 years old,City center or metropolitan area,No,0,0,There are enough,1,0,Female,0,1,1,1,0
72,6515884394020864,Bolívar,9,"I work full-time, either as an employee or self-employed",Better_situation,0.96,0,36 to 45 years old,Suburban/Peri-urban,2 days,0,0,Irregularly,0,0,Male,0,1,1,0,0
73,4864673748090880,Bolívar,5,"I work full-time, either as an employee or self-employed",Bad_situation,0.96,0,26 to 35 years old,Suburban/Peri-urban,No,0,0,Irregularly,0,0,Male,0,1,1,0,0
74,4981936203497472,Bolívar,5,I am a student,Bad_situation,0.96,0,26 to 35 years old,Rural,No,0,0,Irregularly,0,1,Female,0,1,1,0,0
75,6626049013317632,Bolívar,9,"I work part-time, either as an employee or self-employed",Better_situation,0.96,0,36 to 45 years old,Suburban/Peri-urban,No,0,0,There are enough,0,0,Female,0,1,1,0,0
76,5150176649150464,Bolívar,4,I am a student,Bad_situation,0.96,0,16 to 25 years old,Suburban/Peri-urban,3 days,0,1,Irregularly,1,0,Male,0,1,1,1,1
77,4532959666503680,Bolívar,5,I am a student and I work part-time,Good_situation,0.96,0,16 to 25 years old,City center or metropolitan area,No,0,0,There are enough,0,0,Female,0,1,1,0,0
78,4921720174804992,Bolívar,7,"I work part-time, either as an employee or self-employed",Better_situation,0.96,0,Over 45 years old,City center or metropolitan area,No,0,0,There are enough,0,0,Male,0,1,1,1,0
79,5825898132799488,Bolívar,5,I am retired,Bad_situation,0.96,0,Over 45 years old,Suburban/Peri-urban,No,0,0,Irregularly,0,0,Female,0,1,1,0,0
80,6195762949259264,Bolívar,4,"I do housework, fulfilling domestic tasks, looking after children",Midium_situation,0.96,0,16 to 25 years old,Rural,Every day,0,0,There are enough,0,0,Male,0,1,1,0,0
81,5569941519728640,Bolívar,6,I am a student and I work part-time,Midium_situation,0.96,0,26 to 35 years old,City center or metropolitan area,No,1,0,There are enough,0,0,Female,0,1,1,1,0
82,4861590615883776,Bolívar,8,I am unemployed,Midium_situation,0.96,0,36 to 45 years old,City center or metropolitan area,No,0,0,Irregularly,0,1,Female,0,1,0,0,0
83,6233602231894016,Bolívar,9,"I work full-time, either as an employee or self-employed",Good_situation,0.96,0,16 to 25 years old,City center or metropolitan area,No,1,0,Irregularly,0,0,Male,0,1,1,1,0
84,4517303638294528,Bolívar,9,"I work part-time, either as an employee or self-employed",Bad_situation,0.96,0,26 to 35 years old,Rural,No,1,1,Irregularly,0,0,Male,0,0,0,1,0
85,5560704404029440,Bolívar,7,"I work part-time, either as an employee or self-employed",Bad_situation,0.96,0,36 to 45 years old,Suburban/Peri-urban,No,1,0,There are enough,0,0,Female,0,0,1,1,0
86,5666626283503616,Bolívar,7,"I work part-time, either as an employee or self-employed",Better_situation,0.96,0,36 to 45 years old,Suburban/Peri-urban,No,0,0,Irregularly,0,0,Male,0,1,1,1,0
87,5524570307297280,Bolívar,9,"I work part-time, either as an employee or self-employed",Better_situation,0.96,0,36 to 45 years old,Suburban/Peri-urban,No,0,0,There are not enough,0,1,Male,0,0,0,1,0
88,5362942098014208,Lara,5,I am unemployed,Bad_situation,0.95,0,16 to 25 years old,City center or metropolitan area,No,0,1,Irregularly,0,0,Female,0,1,1,1,0
89,5030426065502208,Lara,10,"I work full-time, either as an employee or self-employed",Midium_situation,0.95,0,16 to 25 years old,Suburban/Peri-urban,No,1,0,Irregularly,0,0,Female,0,0,1,1,0
90,6217103651897344,Lara,7,"I do housework, fulfilling domestic tasks, looking after children",Good_situation,0.95,0,26 to 35 years old,Rural,No,0,0,Irregularly,0,0,Female,0,0,0,0,0
91,6591814030327808,Lara,1,I am a student,Midium_situation,0.95,0,16 to 25 years old,Rural,1 day,1,1,There are enough,0,1,Male,0,0,1,0,1
92,5855956494974976,Lara,5,None of the above,Better_situation,0.95,0,26 to 35 years old,Suburban/Peri-urban,No,1,1,Irregularly,0,0,Male,0,0,1,1,0
93,6746326619652096,Lara,7,"I work part-time, either as an employee or self-employed",Better_situation,0.95,0,26 to 35 years old,Rural,No,0,0,There are not enough,0,1,Male,0,0,0,0,0
94,5264227844751360,Lara,10,"I work part-time, either as an employee or self-employed",Better_situation,0.95,0,Over 45 years old,Suburban/Peri-urban,No,0,0,There are enough,0,0,Male,0,1,0,1,0
95,4825166894071808,Lara,5,I am a student,Midium_situation,0.95,1,16 to 25 years old,Rural,No,0,0,Irregularly,0,1,Male,0,0,0,1,0
96,5996426806165504,Lara,5,I am unemployed,Better_situation,0.95,1,36 to 45 years old,Suburban/Peri-urban,No,0,0,There are not enough,0,1,Male,0,0,1,1,0
97,6264691486883840,Lara,8,I am unemployed,Midium_situation,0.95,0,36 to 45 years old,Suburban/Peri-urban,No,0,0,Irregularly,0,0,Female,0,1,1,1,0
98,6257961138913280,Lara,9,"I work part-time, either as an employee or self-employed",Good_situation,0.95,0,Over 45 years old,City center or metropolitan area,Every day,0,0,Irregularly,1,0,Male,0,1,1,0,0
99,6614254647246848,Lara,3,I am a student,Better_situation,0.95,0,16 to 25 years old,Rural,No,0,0,Irregularly,0,0,Male,0,1,1,1,0
100,5031557101518848,Lara,7,"I work part-time, either as an employee or self-employed",Better_situation,0.95,0,26 to 35 years old,City center or metropolitan area,No,0,0,There are enough,0,0,Male,0,1,1,0,0
101,6555359136448512,Lara,5,"I do housework, fulfilling domestic tasks, looking after children",Better_situation,0.95,0,26 to 35 years old,Suburban/Peri-urban,No,0,0,There are not enough,0,0,Female,0,0,1,1,0
102,6614022853230592,Lara,5,I am a student,Bad_situation,0.95,0,16 to 25 years old,Rural,2 days,1,0,There are not enough,0,0,Male,0,1,0,0,0
103,5176541054238720,Lara,5,"I work part-time, either as an employee or self-employed",Midium_situation,0.95,1,16 to 25 years old,Suburban/Peri-urban,No,1,1,Irregularly,0,0,Female,0,0,1,1,0
104,6124684948275200,Lara,9,"I work part-time, either as an employee or self-employed",Midium_situation,0.95,0,Over 45 years old,City center or metropolitan area,No,0,0,Irregularly,0,0,Female,0,1,1,1,0
105,4702978698379264,Lara,5,I am unemployed,Better_situation,0.95,0,26 to 35 years old,Suburban/Peri-urban,No,1,0,Irregularly,0,0,Male,0,0,0,1,0
106,5043703000596480,Miranda,5,I am a student and I work part-time,Midium_situation,0.88,0,16 to 25 years old,City center or metropolitan area,Every day,0,1,Irregularly,0,0,Male,0,1,1,0,0
107,5285163864162304,Miranda,7,"I work full-time, either as an employee or self-employed",Midium_situation,0.88,0,26 to 35 years old,City center or metropolitan area,No,0,0,There are enough,0,1,Female,0,0,1,1,1
108,5965578757210112,Miranda,8,"I do housework, fulfilling domestic tasks, looking after children",Better_situation,0.88,0,36 to 45 years old,City center or metropolitan area,No,0,0,There are enough,1,0,Female,0,1,1,1,0
109,4721462627008512,Miranda,9,"I work full-time, either as an employee or self-employed",Good_situation,0.88,0,Over 45 years old,City center or metropolitan area,No,0,0,There are enough,0,0,Female,0,1,1,0,0
110,4742270720147456,Miranda,8,I am doing community or military service,Better_situation,0.88,0,26 to 35 years old,Rural,No,0,0,There are enough,0,0,Male,0,1,1,0,0
111,5310132388102144,Miranda,9,"I do housework, fulfilling domestic tasks, looking after children",Better_situation,0.88,0,26 to 35 years old,City center or metropolitan area,No,0,0,There are not enough,0,1,Female,0,0,0,0,1
112,5114281459974144,Miranda,8,I am a student and I work part-time,Midium_situation,0.88,0,16 to 25 years old,Rural,No,0,0,Irregularly,0,0,Male,0,1,1,1,0
113,5040650822352896,Miranda,7,I am unemployed,Midium_situation,0.88,0,26 to 35 years old,Rural,No,1,1,There are not enough,0,0,Female,0,0,0,1,0
114,5015407084961792,Miranda,6,I am a student,Good_situation,0.88,0,16 to 25 years old,City center or metropolitan area,No,0,0,There are enough,0,0,Male,0,1,1,0,0
115,5247637845704704,Miranda,10,"I work full-time, either as an employee or self-employed",Good_situation,0.88,0,Over 45 years old,City center or metropolitan area,No,0,0,There are enough,0,0,Male,0,1,1,0,0
116,4827546574389248,Miranda,10,"I work full-time, either as an employee or self-employed",Better_situation,0.88,0,Over 45 years old,City center or metropolitan area,No,0,1,There are not enough,0,0,Female,0,1,1,0,0
117,4707954149556224,Miranda,5,"I work full-time, either as an employee or self-employed",Midium_situation,0.88,1,16 to 25 years old,City center or metropolitan area,No,0,0,Irregularly,0,0,Female,0,1,1,1,0
118,6100754581684224,Miranda,9,"I work full-time, either as an employee or self-employed",Midium_situation,0.88,0,26 to 35 years old,Suburban/Peri-urban,1 day,0,0,There are enough,0,0,Male,0,1,0,0,0
119,6525513710698496,Miranda,8,None of the above,Good_situation,0.88,0,36 to 45 years old,City center or metropolitan area,No,0,1,Irregularly,1,0,Female,0,1,1,1,0
120,5683650325905408,Miranda,5,I am a student,Bad_situation,0.88,0,16 to 25 years old,City center or metropolitan area,No,0,0,There are enough,0,1,Female,0,1,1,0,0
121,5760905781706752,Miranda,9,None of the above,Better_situation,0.88,0,26 to 35 years old,City center or metropolitan area,No,0,0,There are not enough,0,0,Female,0,1,1,0,0
122,5478906600882176,Trujillo,5,"I work part-time, either as an employee or self-employed",Good_situation,0.97,0,26 to 35 years old,Rural,No,1,0,There are not enough,0,1,Male,0,0,1,1,0
123,5499446074015744,Táchira,5,I am unemployed,Good_situation,0.93,1,16 to 25 years old,Rural,No,0,0,Irregularly,0,0,Female,0,1,0,0,0
124,6680683832672256,Mérida,6,I am a student and I work part-time,Better_situation,0.93,1,16 to 25 years old,Rural,No,0,0,There are not enough,0,1,Female,0,0,0,0,1
125,6241508058726400,Miranda,9,I am unemployed,Midium_situation,0.88,0,26 to 35 years old,City center or metropolitan area,No,0,0,Irregularly,0,0,Female,0,1,1,1,0
126,5189740008833024,Miranda,9,"I work full-time, either as an employee or self-employed",Better_situation,0.88,0,36 to 45 years old,City center or metropolitan area,2 days,1,1,Irregularly,1,1,Female,0,1,1,1,0
127,5281119934349312,Miranda,9,I am a student and I work part-time,Bad_situation,0.88,0,26 to 35 years old,City center or metropolitan area,No,0,0,There are not enough,0,1,Male,0,1,1,1,1
128,6146671154298880,Miranda,9,"I work part-time, either as an employee or self-employed",Better_situation,0.88,0,36 to 45 years old,Rural,Every day,0,0,There are enough,0,0,Female,0,1,1,1,1
129,6076307158073344,Miranda,5,I am unemployed,Better_situation,0.88,0,Over 45 years old,City center or metropolitan area,1 day,0,0,There are enough,1,0,Female,0,1,1,0,0
130,4511886073921536,Miranda,9,"I work full-time, either as an employee or self-employed",Midium_situation,0.88,0,26 to 35 years old,City center or metropolitan area,No,0,0,There are enough,1,0,Female,0,1,1,1,0
131,5015635137658880,Miranda,9,"I work part-time, either as an employee or self-employed",Good_situation,0.88,0,26 to 35 years old,City center or metropolitan area,No,0,0,There are not enough,0,0,Male,0,0,1,1,0
132,6303016016936960,Miranda,9,"I work full-time, either as an employee or self-employed",Good_situation,0.88,0,36 to 45 years old,City center or metropolitan area,No,0,0,There are enough,0,0,Female,0,1,1,0,0
133,5006115879518208,Miranda,9,"I work part-time, either as an employee or self-employed",Better_situation,0.88,0,36 to 45 years old,City center or metropolitan area,No,0,0,There are enough,0,0,Male,0,1,1,0,0
134,5996952134352896,Miranda,7,"I do housework, fulfilling domestic tasks, looking after children",Midium_situation,0.88,0,26 to 35 years old,City center or metropolitan area,No,0,0,There are enough,0,0,Female,0,1,1,1,0
135,5163804462940160,Miranda,9,"I work full-time, either as an employee or self-employed",Better_situation,0.88,0,36 to 45 years old,City center or metropolitan area,No,0,0,Irregularly,0,0,Male,0,1,1,1,0
136,5506086110232576,Miranda,9,"I work full-time, either as an employee or self-employed",Midium_situation,0.88,0,Over 45 years old,City center or metropolitan area,No,0,0,There are enough,0,0,Male,0,1,1,0,0
137,5358757659017216,Anzoátegui,5,I am a student and I work part-time,Midium_situation,0.95,0,16 to 25 years old,Rural,Every day,0,0,Irregularly,0,0,Female,0,1,1,0,0
138,4931249499275264,Anzoátegui,4,I am a student,Good_situation,0.95,0,16 to 25 years old,City center or metropolitan area,No,0,0,There are enough,0,0,Male,0,1,1,0,0
139,4901765689638912,Anzoátegui,8,I am a student,Bad_situation,0.95,0,16 to 25 years old,Suburban/Peri-urban,No,0,1,Irregularly,0,0,Male,0,1,1,1,0
140,6510308318511104,Anzoátegui,7,"I work full-time, either as an employee or self-employed",Midium_situation,0.95,0,26 to 35 years old,City center or metropolitan area,No,0,0,Irregularly,0,0,Male,0,1,1,0,0
141,6755339205869568,Lara,5,I am a student and I work part-time,Midium_situation,0.95,0,16 to 25 years old,Rural,No,0,0,Irregularly,0,0,Male,0,1,1,0,0
142,4794505994960896,Lara,5,I am unemployed,Midium_situation,0.95,0,36 to 45 years old,Rural,No,0,0,Irregularly,0,0,Female,0,0,1,1,0
143,6644312556437504,Lara,2,I am unemployed,Bad_situation,0.95,1,16 to 25 years old,Rural,1 day,1,1,Irregularly,1,1,Female,0,0,0,1,1
144,5752987304853504,Lara,7,"I work part-time, either as an employee or self-employed",Midium_situation,0.95,0,26 to 35 years old,Rural,No,0,0,There are enough,1,0,Female,0,1,1,1,0
145,6107708553166848,Trujillo,9,I am unemployed,Good_situation,0.97,0,26 to 35 years old,Suburban/Peri-urban,No,0,0,There are enough,0,0,Male,0,0,0,1,1
146,5672271195930624,Vargas,9,"I work part-time, either as an employee or self-employed",Bad_situation,0.9340446876424989,0,Over 45 years old,Suburban/Peri-urban,No,0,0,There are not enough,0,1,Female,0,1,1,1,0
147,5438726191972352,Vargas,9,"I do housework, fulfilling domestic tasks, looking after children",Better_situation,0.9340446876424989,0,36 to 45 years old,City center or metropolitan area,No,1,0,Irregularly,0,1,Female,0,0,1,1,0
