,submission_id,submission_state,education,employment_status,percentage,financial_situation,age,are_children_attending_face_to_face_classes,does_home_shows_severe_deficit_of_electricity,do_children_3_and_17_yrs_receive_regular_school_meals,are_there_children_who_stopped_enrolling_in_primary_education,geography,are_there_teachers_at_scheduled_class_hours,are_there_children_who_stopped_enrolling_in_secondary_education,are_children_being_teached_by_unqualified_people,gender,does_home_shows_severe_deficit_of_internet,do_children_have_internet_connection,do_school_and_the_teachers_have_internet_connection,do_children_3_to_17_yrs_miss_virtual_class_due_to_lack_of_electricity,do_children_3_to_17_yrs_miss_class_or_in_lower_grade
54,4836963558621184,Distrito Federal,9,"I work full-time, either as an employee or self-employed",0.9,Midium_situation,Over 45 years old,1,0,4 days,0,City center or metropolitan area,Irregularly,0,0,Female,0,1,1,0,0
55,5309641990078464,Distrito Federal,5,"I do housework, fulfilling domestic tasks, looking after children",0.9,Midium_situation,Over 45 years old,0,0,No,1,City center or metropolitan area,Irregularly,0,0,Female,0,1,1,1,1
56,6154200550735872,Distrito Federal,8,"I work part-time, either as an employee or self-employed",0.9,Bad_situation,26 to 35 years old,0,0,No,0,Rural,There are enough,0,0,Female,0,1,1,1,0
58,5656677713182720,Distrito Federal,9,"I work full-time, either as an employee or self-employed",0.9,Good_situation,26 to 35 years old,1,0,No,0,Suburban/Peri-urban,There are enough,0,0,Female,0,1,0,0,1
59,4907735761289216,Distrito Federal,4,"I work part-time, either as an employee or self-employed",0.9,Bad_situation,Over 45 years old,0,1,No,1,Suburban/Peri-urban,Irregularly,1,0,Male,0,0,0,0,0
60,4666488723341312,Distrito Federal,6,"I do housework, fulfilling domestic tasks, looking after children",0.9,Better_situation,16 to 25 years old,1,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,0,1,1,0,0
61,5453935744909312,Distrito Federal,8,I am a student,0.9,Bad_situation,16 to 25 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,0,1,1,0,0
64,4625432996741120,Distrito Federal,9,I am unemployed,0.9,Midium_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,0,1,1,0,0
66,5398035856359424,Distrito Federal,9,"I work part-time, either as an employee or self-employed",0.9,Better_situation,36 to 45 years old,1,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,0,1,1,1,1
68,6507487514853376,Distrito Federal,9,"I work full-time, either as an employee or self-employed",0.9,Midium_situation,26 to 35 years old,1,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,0,0,1,0,0
70,6312416962150400,Distrito Federal,9,"I work full-time, either as an employee or self-employed",0.9,Better_situation,Over 45 years old,1,0,No,1,Suburban/Peri-urban,There are not enough,0,0,Female,0,1,1,1,1
71,6242814601199616,Distrito Federal,7,"I work full-time, either as an employee or self-employed",0.9,Good_situation,26 to 35 years old,1,0,No,0,City center or metropolitan area,There are enough,0,0,Female,0,1,1,0,0
76,5150176649150464,Bolívar,4,I am a student,0.96,Bad_situation,16 to 25 years old,1,0,3 days,0,Suburban/Peri-urban,Irregularly,1,0,Male,0,1,1,0,1
78,4921720174804992,Bolívar,7,"I work part-time, either as an employee or self-employed",0.96,Better_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Male,0,1,1,0,0
81,5569941519728640,Bolívar,6,I am a student and I work part-time,0.96,Midium_situation,26 to 35 years old,0,0,No,1,City center or metropolitan area,There are enough,0,0,Female,0,1,1,0,0
83,6233602231894016,Bolívar,9,"I work full-time, either as an employee or self-employed",0.96,Good_situation,16 to 25 years old,0,0,No,1,City center or metropolitan area,Irregularly,0,0,Male,0,1,1,1,0
84,4517303638294528,Bolívar,9,"I work part-time, either as an employee or self-employed",0.96,Bad_situation,26 to 35 years old,0,0,No,1,Rural,Irregularly,1,0,Male,0,0,0,0,0
85,5560704404029440,Bolívar,7,"I work part-time, either as an employee or self-employed",0.96,Bad_situation,36 to 45 years old,0,0,No,1,Suburban/Peri-urban,There are enough,0,0,Female,0,1,0,1,0
86,5666626283503616,Bolívar,7,"I work part-time, either as an employee or self-employed",0.96,Better_situation,36 to 45 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,0,Male,0,1,1,1,0
87,5524570307297280,Bolívar,9,"I work part-time, either as an employee or self-employed",0.96,Better_situation,36 to 45 years old,0,0,No,0,Suburban/Peri-urban,There are not enough,0,1,Male,0,0,0,0,0
88,5362942098014208,Lara,5,I am unemployed,0.95,Bad_situation,16 to 25 years old,0,0,No,0,City center or metropolitan area,Irregularly,1,0,Female,0,1,1,1,0
89,5030426065502208,Lara,10,"I work full-time, either as an employee or self-employed",0.95,Midium_situation,16 to 25 years old,0,0,No,1,Suburban/Peri-urban,Irregularly,0,0,Female,0,1,0,1,0
92,5855956494974976,Lara,5,None of the above,0.95,Better_situation,26 to 35 years old,0,0,No,1,Suburban/Peri-urban,Irregularly,1,0,Male,0,1,0,0,0
94,5264227844751360,Lara,10,"I work part-time, either as an employee or self-employed",0.95,Better_situation,Over 45 years old,0,0,No,0,Suburban/Peri-urban,There are enough,0,0,Male,0,0,1,1,0
95,4825166894071808,Lara,5,I am a student,0.95,Midium_situation,16 to 25 years old,0,1,No,0,Rural,Irregularly,0,1,Male,0,0,0,1,0
96,5996426806165504,Lara,5,I am unemployed,0.95,Better_situation,36 to 45 years old,0,1,No,0,Suburban/Peri-urban,There are not enough,0,1,Male,0,1,0,1,0
97,6264691486883840,Lara,8,I am unemployed,0.95,Midium_situation,36 to 45 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,0,Female,0,1,1,0,0
99,6614254647246848,Lara,3,I am a student,0.95,Better_situation,16 to 25 years old,0,0,No,0,Rural,Irregularly,0,0,Male,0,1,1,0,0
101,6555359136448512,Lara,5,"I do housework, fulfilling domestic tasks, looking after children",0.95,Better_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,There are not enough,0,0,Female,0,1,0,0,0
103,5176541054238720,Lara,5,"I work part-time, either as an employee or self-employed",0.95,Midium_situation,16 to 25 years old,0,1,No,1,Suburban/Peri-urban,Irregularly,1,0,Female,0,1,0,1,0
104,6124684948275200,Lara,9,"I work part-time, either as an employee or self-employed",0.95,Midium_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,0,1,1,1,0
105,4702978698379264,Lara,5,I am unemployed,0.95,Better_situation,26 to 35 years old,0,0,No,1,Suburban/Peri-urban,Irregularly,0,0,Male,0,0,0,1,0
107,5285163864162304,Miranda,7,"I work full-time, either as an employee or self-employed",0.88,Midium_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,There are enough,0,1,Female,0,1,0,1,1
108,5965578757210112,Miranda,8,"I do housework, fulfilling domestic tasks, looking after children",0.88,Better_situation,36 to 45 years old,1,0,No,0,City center or metropolitan area,There are enough,0,0,Female,0,1,1,0,0
112,5114281459974144,Miranda,8,I am a student and I work part-time,0.88,Midium_situation,16 to 25 years old,0,0,No,0,Rural,Irregularly,0,0,Male,0,1,1,1,0
113,5040650822352896,Miranda,7,I am unemployed,0.88,Midium_situation,26 to 35 years old,0,0,No,1,Rural,There are not enough,1,0,Female,0,0,0,0,0
117,4707954149556224,Miranda,5,"I work full-time, either as an employee or self-employed",0.88,Midium_situation,16 to 25 years old,0,1,No,0,City center or metropolitan area,Irregularly,0,0,Female,0,1,1,1,0
119,6525513710698496,Miranda,8,None of the above,0.88,Good_situation,36 to 45 years old,1,0,No,0,City center or metropolitan area,Irregularly,1,0,Female,0,1,1,1,0
122,5478906600882176,Trujillo,5,"I work part-time, either as an employee or self-employed",0.97,Good_situation,26 to 35 years old,0,0,No,1,Rural,There are not enough,0,1,Male,0,1,0,1,0
125,6241508058726400,Miranda,9,I am unemployed,0.88,Midium_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,0,1,1,0,0
126,5189740008833024,Miranda,9,"I work full-time, either as an employee or self-employed",0.88,Better_situation,36 to 45 years old,1,0,2 days,1,City center or metropolitan area,Irregularly,1,1,Female,0,1,1,1,0
127,5281119934349312,Miranda,9,I am a student and I work part-time,0.88,Bad_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,There are not enough,0,1,Male,0,1,1,1,1
128,6146671154298880,Miranda,9,"I work part-time, either as an employee or self-employed",0.88,Better_situation,36 to 45 years old,0,0,Every day,0,Rural,There are enough,0,0,Female,0,1,1,1,1
130,4511886073921536,Miranda,9,"I work full-time, either as an employee or self-employed",0.88,Midium_situation,26 to 35 years old,1,0,No,0,City center or metropolitan area,There are enough,0,0,Female,0,1,1,0,0
131,5015635137658880,Miranda,9,"I work part-time, either as an employee or self-employed",0.88,Good_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,There are not enough,0,0,Male,0,1,0,0,0
134,5996952134352896,Miranda,7,"I do housework, fulfilling domestic tasks, looking after children",0.88,Midium_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Female,0,1,1,0,0
135,5163804462940160,Miranda,9,"I work full-time, either as an employee or self-employed",0.88,Better_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Male,0,1,1,0,0
139,4901765689638912,Anzoátegui,8,I am a student,0.95,Bad_situation,16 to 25 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,1,0,Male,0,1,1,0,0
142,4794505994960896,Lara,5,I am unemployed,0.95,Midium_situation,36 to 45 years old,0,0,No,0,Rural,Irregularly,0,0,Female,0,1,0,0,0
143,6644312556437504,Lara,2,I am unemployed,0.95,Bad_situation,16 to 25 years old,1,1,1 day,1,Rural,Irregularly,1,1,Female,0,0,0,1,1
144,5752987304853504,Lara,7,"I work part-time, either as an employee or self-employed",0.95,Midium_situation,26 to 35 years old,1,0,No,0,Rural,There are enough,0,0,Female,0,1,1,0,0
145,6107708553166848,Trujillo,9,I am unemployed,0.97,Good_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,There are enough,0,0,Male,0,0,0,1,1
146,5672271195930624,Vargas,9,"I work part-time, either as an employee or self-employed",0.9340446876424989,Bad_situation,Over 45 years old,0,0,No,0,Suburban/Peri-urban,There are not enough,0,1,Female,0,1,1,0,0
147,5438726191972352,Vargas,9,"I do housework, fulfilling domestic tasks, looking after children",0.9340446876424989,Better_situation,36 to 45 years old,0,0,No,1,City center or metropolitan area,Irregularly,0,1,Female,0,1,0,1,0
148,6180647902380032,Mérida,5,I am unemployed,0.93,Midium_situation,16 to 25 years old,0,0,No,0,Suburban/Peri-urban,There are not enough,0,0,Female,0,1,0,1,1
149,6664690783748096,Mérida,8,I am a student and I work part-time,0.93,Midium_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,0,1,0,0,0
150,4708129437908992,Mérida,9,"I work full-time, either as an employee or self-employed",0.93,Better_situation,36 to 45 years old,0,0,No,0,Suburban/Peri-urban,There are not enough,0,0,Male,0,0,0,0,0
154,5409275869659136,Miranda,6,"I work full-time, either as an employee or self-employed",0.88,Good_situation,36 to 45 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,1,0,Female,0,1,1,0,0
161,5727521319682048,Miranda,10,"I work full-time, either as an employee or self-employed",0.88,Better_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Female,0,0,1,0,0
162,5384691292307456,Miranda,8,"I work part-time, either as an employee or self-employed",0.88,Midium_situation,16 to 25 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,0,Male,0,1,1,1,0
163,5738074456981504,Miranda,5,None of the above,0.88,Better_situation,26 to 35 years old,1,0,No,1,Rural,Irregularly,0,1,Male,0,0,0,0,1
165,5478644087783424,Miranda,5,"I work full-time, either as an employee or self-employed",0.88,Midium_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,There are enough,0,1,Female,0,1,1,1,0
166,6480224941506560,Miranda,5,"I work full-time, either as an employee or self-employed",0.88,Better_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,There are not enough,0,0,Female,0,1,1,0,0
167,5801377510195200,Miranda,7,"I work part-time, either as an employee or self-employed",0.88,Good_situation,16 to 25 years old,0,0,No,0,Suburban/Peri-urban,There are enough,0,0,Male,0,1,0,0,1
168,5545293373505536,Miranda,10,"I work part-time, either as an employee or self-employed",0.88,Better_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Female,0,1,1,0,0
170,6241319600259072,Miranda,9,"I work full-time, either as an employee or self-employed",0.88,Midium_situation,Over 45 years old,0,0,Every day,0,Rural,There are enough,0,0,Female,0,1,1,0,1
171,6490198392438784,Miranda,6,I am unemployed,0.88,Midium_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Male,0,1,1,0,0
173,6600645087068160,Miranda,8,I am a student,0.88,Midium_situation,26 to 35 years old,0,0,3 days,0,City center or metropolitan area,There are enough,0,0,Male,0,1,1,0,0
174,6425679947366400,Miranda,8,"I work full-time, either as an employee or self-employed",0.88,Midium_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,1,Female,0,1,0,0,0
175,6009002822729728,Miranda,6,I am unemployed,0.88,Bad_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,There are not enough,0,1,Male,0,1,1,0,0
184,6624537855918080,Miranda,10,"I work full-time, either as an employee or self-employed",0.88,Better_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,0,1,0,0,0
187,5834069945614336,Lara,5,I am unemployed,0.95,Midium_situation,36 to 45 years old,0,0,No,0,Suburban/Peri-urban,There are not enough,0,0,Male,0,0,0,0,0
188,5091060517961728,Lara,4,I am a student,0.95,Better_situation,16 to 25 years old,0,0,No,0,Suburban/Peri-urban,There are not enough,0,0,Male,0,1,1,1,0
189,6403775463161856,Lara,9,"I do housework, fulfilling domestic tasks, looking after children",0.95,Good_situation,26 to 35 years old,1,0,No,0,City center or metropolitan area,There are not enough,1,1,Female,0,1,1,1,0
192,5378937160204288,Apure,9,"I work part-time, either as an employee or self-employed",0.96,Midium_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,0,0,0,1,0
193,4537107128516608,Apure,7,"I work full-time, either as an employee or self-employed",0.96,Midium_situation,36 to 45 years old,0,0,No,1,Rural,Irregularly,0,0,Male,0,1,1,1,1
194,5393260205047808,Apure,9,"I work part-time, either as an employee or self-employed",0.96,Midium_situation,36 to 45 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,0,Male,0,1,1,0,0
197,4647408607952896,Zulia,9,I am a student and I work part-time,0.96,Midium_situation,16 to 25 years old,0,0,No,0,Suburban/Peri-urban,There are not enough,0,0,Female,0,1,0,1,0
200,5918865149394944,Lara,5,"I work full-time, either as an employee or self-employed",0.95,Bad_situation,36 to 45 years old,0,0,No,0,Suburban/Peri-urban,There are enough,0,0,Female,0,1,0,0,0
201,6169103097397248,Lara,9,"I work full-time, either as an employee or self-employed",0.95,Better_situation,36 to 45 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,1,Male,0,1,1,1,0
203,5076300275646464,Lara,7,I am a student,0.95,Midium_situation,16 to 25 years old,0,0,No,0,Rural,There are enough,0,0,Male,0,1,1,1,0
204,4792392535506944,Lara,9,I am a student,0.95,Midium_situation,36 to 45 years old,0,1,No,0,Rural,Irregularly,0,0,Female,0,1,1,1,1
205,5767892804304896,Lara,5,I am unemployed,0.95,Bad_situation,Over 45 years old,1,1,No,1,Suburban/Peri-urban,There are not enough,1,1,Male,0,1,1,1,1
206,5029716993245184,Lara,9,"I work full-time, either as an employee or self-employed",0.95,Good_situation,26 to 35 years old,0,0,No,0,Rural,Irregularly,0,0,Male,0,1,1,0,0
209,6003882819059712,Carabobo,5,"I work full-time, either as an employee or self-employed",0.93,Good_situation,16 to 25 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Male,0,1,1,0,0
210,6115322439663616,Miranda,7,"I work part-time, either as an employee or self-employed",0.88,Good_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,0,1,1,1,0
211,4852289461551104,Miranda,7,"I do housework, fulfilling domestic tasks, looking after children",0.88,Midium_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,There are enough,0,0,Female,0,1,1,1,0
212,4510955609522176,Miranda,9,"I work part-time, either as an employee or self-employed",0.88,Midium_situation,26 to 35 years old,0,1,No,0,Suburban/Peri-urban,Irregularly,0,0,Female,0,1,1,1,0
213,5940799681593344,Miranda,9,"I work full-time, either as an employee or self-employed",0.88,Better_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,There are enough,0,0,Female,0,1,1,0,0
215,6313820141387776,Miranda,9,"I work part-time, either as an employee or self-employed",0.88,Better_situation,36 to 45 years old,0,0,No,0,Suburban/Peri-urban,There are not enough,0,1,Prefer not to answer,0,0,0,1,1
217,6372914059542528,Miranda,5,I am a student,0.88,Bad_situation,16 to 25 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,0,Female,0,1,1,1,0
220,6457380346003456,Miranda,5,"I do housework, fulfilling domestic tasks, looking after children",0.88,Better_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,1,Female,0,1,1,0,0
221,6588250969079808,Miranda,7,"I work part-time, either as an employee or self-employed",0.88,Good_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Male,0,1,1,0,0
223,4685516904857600,Miranda,9,"I work part-time, either as an employee or self-employed",0.88,Better_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Male,0,1,1,1,0
227,5801084596781056,Miranda,9,"I work full-time, either as an employee or self-employed",0.88,Better_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Female,0,1,1,0,0
228,5357866721738752,Miranda,5,"I work part-time, either as an employee or self-employed",0.88,Bad_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Male,0,1,0,1,1
231,5946823641661440,Miranda,7,"I work full-time, either as an employee or self-employed",0.88,Better_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,There are not enough,0,1,Female,0,1,0,0,0
233,6352831060901888,Miranda,7,"I do housework, fulfilling domestic tasks, looking after children",0.88,Good_situation,26 to 35 years old,0,0,No,1,City center or metropolitan area,There are not enough,1,1,Female,0,0,0,0,0
234,4764741250842624,Miranda,5,"I work full-time, either as an employee or self-employed",0.88,Midium_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,There are not enough,0,0,Male,0,1,1,1,0
235,4710654996119552,Zulia,4,"I do housework, fulfilling domestic tasks, looking after children",0.96,Bad_situation,26 to 35 years old,0,0,No,0,Rural,There are enough,0,0,Female,0,0,1,0,0
238,4678118488145920,Zulia,7,"I work full-time, either as an employee or self-employed",0.96,Midium_situation,26 to 35 years old,0,0,No,0,Rural,There are enough,0,0,Male,0,1,1,0,0
239,5802648401084416,Zulia,7,"I work part-time, either as an employee or self-employed",0.96,Better_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Male,0,1,0,1,0
240,4609091384377344,Zulia,5,I am unemployed,0.96,Midium_situation,26 to 35 years old,0,0,No,0,Rural,There are not enough,0,0,Female,0,1,1,0,0
241,6503651840622592,Zulia,9,I am a student,0.96,Bad_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,0,Male,0,1,1,1,0
242,5233989177835520,Zulia,9,"I work part-time, either as an employee or self-employed",0.96,Bad_situation,16 to 25 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Male,0,1,1,0,0
244,4806332791390208,Zulia,7,"I work full-time, either as an employee or self-employed",0.96,Midium_situation,26 to 35 years old,0,0,No,0,Rural,There are enough,0,1,Female,0,1,1,0,0
245,5410415847931904,Zulia,7,"I work part-time, either as an employee or self-employed",0.96,Better_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Female,0,1,1,1,0
251,5768856219156480,Distrito Federal,9,"I work part-time, either as an employee or self-employed",0.9,Better_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,There are not enough,0,1,Male,0,1,0,0,0
252,4696016287956992,Distrito Federal,5,I am a student,0.9,Bad_situation,16 to 25 years old,1,1,2 days,1,Suburban/Peri-urban,There are enough,1,1,Male,0,0,1,1,0
253,6422643539705856,Distrito Federal,9,I am unemployed,0.9,Midium_situation,36 to 45 years old,0,0,Every day,0,Suburban/Peri-urban,Irregularly,0,0,Male,0,1,0,0,0
254,4764303633940480,Distrito Federal,5,I am a student,0.9,Bad_situation,16 to 25 years old,0,0,Every day,0,Rural,There are not enough,0,0,Female,0,1,0,1,0
255,6263762700206080,Distrito Federal,10,"I work full-time, either as an employee or self-employed",0.9,Good_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Female,0,1,1,0,1
256,5877732516036608,Distrito Federal,5,I am a student and I work part-time,0.9,Midium_situation,16 to 25 years old,1,0,2 days,1,Suburban/Peri-urban,Irregularly,0,0,Female,0,1,1,1,1
258,4954244754178048,Distrito Federal,5,I am a student and I work part-time,0.9,Midium_situation,16 to 25 years old,0,1,Every day,0,Suburban/Peri-urban,Irregularly,0,0,Female,0,0,0,0,0
261,5734207644237824,Carabobo,5,"I work full-time, either as an employee or self-employed",0.93,Bad_situation,16 to 25 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,1,Male,0,1,1,0,0
262,6399866858373120,Carabobo,5,"I do housework, fulfilling domestic tasks, looking after children",0.93,Bad_situation,36 to 45 years old,0,0,No,1,Rural,Irregularly,1,1,Male,0,1,1,1,0
